Name,Enabled,DNSHostName,DistinguishedName,System,LastLogonDate,Laps,LapsExpirationDays,LapsExpirationTime
WKS-MNG-5957,TRUE,WKS-MNG-5957.sra.org.sz,"CN=WKS-MNG-5957,OU=Computers,OU=Mananga_border,DC=sra,DC=org,DC=sz",Windows 10 21H1,2022/10/28 09:20,TRUE,13,2022/11/17 14:14
WKS-HQ-5998,TRUE,WKS-HQ-5998.sra.org.sz,"CN=WKS-HQ-5998,OU=Desktops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 1909,2022/11/03 09:10,FALSE,,
WKS-MAT-5942,TRUE,WKS-MAT-5942.sra.org.sz,"CN=WKS-MAT-5942,OU=Computers,OU=Matsamo_border,DC=sra,DC=org,DC=sz",Windows 10 21H1,2022/10/27 13:38,TRUE,13,2022/11/17 13:04
WKS-MAT-5941,TRUE,WKS-MAT-5941.sra.org.sz,"CN=WKS-MAT-5941,OU=Computers,OU=Matsamo_border,DC=sra,DC=org,DC=sz",Windows 10 1909,2022/10/27 17:30,TRUE,13,2022/11/17 13:26
WKS-MAT-5943,TRUE,WKS-MAT-5943.sra.org.sz,"CN=WKS-MAT-5943,OU=Computers,OU=Matsamo_border,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/10/25 07:56,TRUE,14,2022/11/18 10:33
WKS-PPK-5870,TRUE,WKS-PPK-5870.sra.org.sz,"CN=WKS-PPK-5870,OU=Desktops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 21H1,2022/11/03 21:26,TRUE,7,2022/11/11 08:24
WKS-PPK-5871,TRUE,WKS-PPK-5871.sra.org.sz,"CN=WKS-PPK-5871,OU=Computers,OU=Piggs_Peak_Service_Center,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/10/27 08:28,TRUE,13,2022/11/17 13:27
WKS-HQ-5980,TRUE,WKS-HQ-5980.sra.org.sz,"CN=WKS-HQ-5980,OU=Desktops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/10/27 09:01,TRUE,2,2022/11/06 15:18
WKS-PPK-5872,TRUE,WKS-PPK-5872.sra.org.sz,"CN=WKS-PPK-5872,OU=Computers,OU=Piggs_Peak_Service_Center,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/11/03 08:16,TRUE,13,2022/11/17 14:06
WKS-LOM-5982,TRUE,WKS-LOM-5982.sra.org.sz,"CN=WKS-LOM-5982,OU=Computers,OU=Lomahasha_border,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/10/18 14:13,TRUE,-1,2022/11/02 11:55
WKS-PPK-5873,TRUE,WKS-PPK-5873.sra.org.sz,"CN=WKS-PPK-5873,OU=Computers,OU=Piggs_Peak_Service_Center,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/10/31 08:23,TRUE,14,2022/11/18 09:34
WKS-HQ-5986,TRUE,WKS-HQ-5986.sra.org.sz,"CN=WKS-HQ-5986,OU=Desktops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 21H1,2022/10/31 09:13,TRUE,8,2022/11/12 11:00
WKS-HQ-5981,TRUE,WKS-HQ-5981.sra.org.sz,"CN=WKS-HQ-5981,OU=Desktops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 11,2022/11/01 08:16,TRUE,4,2022/11/09 08:06
WKS-HQ-5985,TRUE,WKS-HQ-5985.sra.org.sz,"CN=WKS-HQ-5985,OU=Desktops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Unknown,2022/10/31 07:57,TRUE,2,2022/11/06 10:48
WKS-BUL-6068,TRUE,WKS-BUL-6068.sra.org.sz,"CN=WKS-BUL-6068,OU=Computers,OU=Bulembu Border Gate,DC=sra,DC=org,DC=sz",Windows 10 21H1,2022/10/27 23:00,FALSE,,
WKS-COP-6069,TRUE,WKS-COP-6069.sra.org.sz,"CN=WKS-COP-6069,OU=Computers,OU=Mbabane_Service_Center,DC=sra,DC=org,DC=sz",Windows 10 21H1,2022/10/24 09:35,TRUE,26,2022/11/30 10:09
WKS-HQ-5983,TRUE,WKS-HQ-5983.sra.org.sz,"CN=WKS-HQ-5983,OU=Desktops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Unknown,2022/10/30 17:56,TRUE,2,2022/11/06 13:11
WKS-HQ-5984,TRUE,WKS-HQ-5984.sra.org.sz,"CN=WKS-HQ-5984,OU=Desktops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/10/31 07:50,TRUE,2,2022/11/06 12:15
WKS-HQ-6030,TRUE,WKS-HQ-6030.sra.org.sz,"CN=WKS-HQ-6030,OU=Desktops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 21H1,2022/11/03 07:58,TRUE,2,2022/11/06 10:40
WKS-MHL-5893,TRUE,WKS-MHL-5893.sra.org.sz,"CN=WKS-MHL-5893,OU=Computers,OU=Mhlumeni_border,DC=sra,DC=org,DC=sz",Windows 10 21H1,2022/10/29 05:42,TRUE,13,2022/11/17 13:53
WKS-MHL-5895,TRUE,WKS-MHL-5895.sra.org.sz,"CN=WKS-MHL-5895,OU=Computers,OU=Mhlumeni_border,DC=sra,DC=org,DC=sz",Windows 10 21H1,2022/11/03 08:55,TRUE,13,2022/11/18 07:13
WKS-LOM-5965,TRUE,WKS-LOM-5965.sra.org.sz,"CN=WKS-LOM-5965,OU=Computers,OU=Lomahasha_border,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/10/31 08:39,TRUE,14,2022/11/18 09:01
WKS-LOM-5966,TRUE,WKS-LOM-5966.sra.org.sz,"CN=WKS-LOM-5966,OU=Computers,OU=Lomahasha_border,DC=sra,DC=org,DC=sz",Windows 10 21H1,2022/11/01 16:43,TRUE,13,2022/11/17 18:10
WKS-LOM-5967,TRUE,WKS-LOM-5967.sra.org.sz,"CN=WKS-LOM-5967,OU=Computers,OU=Lomahasha_border,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/10/25 15:51,TRUE,13,2022/11/17 15:58
WKS-HQ-5988,TRUE,WKS-HQ-5988.sra.org.sz,"CN=WKS-HQ-5988,OU=Desktops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/10/31 07:55,TRUE,2,2022/11/06 10:57
WKS-LOM-5968,TRUE,WKS-LOM-5968.sra.org.sz,"CN=WKS-LOM-5968,OU=Computers,OU=Lomahasha_border,DC=sra,DC=org,DC=sz",Windows 10 21H1,2022/10/28 16:56,TRUE,13,2022/11/17 13:20
WKS-LOM-5969,TRUE,WKS-LOM-5969.sra.org.sz,"CN=WKS-LOM-5969,OU=Computers,OU=Lomahasha_border,DC=sra,DC=org,DC=sz",Windows 10 21H1,2022/10/13 10:13,TRUE,-15,2022/10/19 08:56
WKS-HQ-5987,TRUE,WKS-HQ-5987.sra.org.sz,"CN=WKS-HQ-5987,OU=Desktops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/10/31 08:14,TRUE,5,2022/11/09 08:30
WKS-LOM-5970,TRUE,WKS-LOM-5970.sra.org.sz,"CN=WKS-LOM-5970,OU=Computers,OU=Lomahasha_border,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/10/23 06:57,TRUE,16,2022/11/20 14:20
WKS-NGW-5878,TRUE,WKS-NGW-5878.sra.org.sz,"CN=WKS-NGW-5878,OU=Computers,OU=Ngwenya_border,DC=sra,DC=org,DC=sz",Windows 10 21H1,2022/11/04 00:03,TRUE,13,2022/11/17 14:00
WKS-NGW-5879,TRUE,WKS-NGW-5879.sra.org.sz,"CN=WKS-NGW-5879,OU=Computers,OU=Ngwenya_border,DC=sra,DC=org,DC=sz",Windows 10 21H1,2022/11/01 13:10,TRUE,13,2022/11/17 14:58
WKS-NGW-5880,TRUE,WKS-NGW-5880.sra.org.sz,"CN=WKS-NGW-5880,OU=Computers,OU=Ngwenya_border,DC=sra,DC=org,DC=sz",Windows 10 20H2,2022/07/17 01:15,TRUE,-46,2022/09/18 12:15
WKS-HQ-6004,TRUE,WKS-HQ-6004.sra.org.sz,"CN=WKS-HQ-6004,OU=Desktops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 21H1,2022/10/31 08:03,TRUE,2,2022/11/06 15:26
WKS-HQ-5976,TRUE,WKS-HQ-5976.sra.org.sz,"CN=WKS-HQ-5976,OU=Desktops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 21H1,2022/11/03 08:06,TRUE,2,2022/11/06 09:20
WKS-HQ-6006,TRUE,WKS-HQ-6006.sra.org.sz,"CN=WKS-HQ-6006,OU=Desktops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/10/24 07:58,TRUE,2,2022/11/06 12:08
WKS-HQ-6005,TRUE,WKS-HQ-6005.sra.org.sz,"CN=WKS-HQ-6005,OU=Desktops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/10/31 09:46,TRUE,5,2022/11/09 09:18
WKS-HQ-6007,TRUE,WKS-HQ-6007.sra.org.sz,"CN=WKS-HQ-6007,OU=Desktops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 21H1,2022/10/31 08:40,TRUE,21,2022/11/25 10:06
WKS-HQ-6008,TRUE,WKS-HQ-6008.sra.org.sz,"CN=WKS-HQ-6008,OU=Desktops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/10/27 09:12,TRUE,21,2022/11/25 16:22
WKS-NGW-5881,TRUE,WKS-NGW-5881.sra.org.sz,"CN=WKS-NGW-5881,OU=Computers,OU=Ngwenya_border,DC=sra,DC=org,DC=sz",Windows 10 21H1,2022/11/03 17:40,TRUE,13,2022/11/17 15:19
WKS-LUN-5882,TRUE,WKS-LUN-5882.sra.org.sz,"CN=WKS-LUN-5882,OU=Computers,OU=Lundzi_border,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/11/02 13:31,TRUE,-46,2022/09/18 12:05
WKS-NGW-5884,TRUE,WKS-NGW-5884.sra.org.sz,"CN=WKS-NGW-5884,OU=Computers,OU=Ngwenya_border,DC=sra,DC=org,DC=sz",Windows 10 21H1,2022/10/26 07:02,TRUE,13,2022/11/18 00:45
WKS-NGW-5885,TRUE,WKS-NGW-5885.sra.org.sz,"CN=WKS-NGW-5885,OU=Computers,OU=Ngwenya_border,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/10/27 13:03,TRUE,13,2022/11/17 15:29
WKS-NGW-5886,TRUE,WKS-NGW-5886.sra.org.sz,"CN=WKS-NGW-5886,OU=Computers,OU=Ngwenya_border,DC=sra,DC=org,DC=sz",Windows 10 21H1,2022/10/27 15:11,TRUE,13,2022/11/17 16:33
WKS-HQ-6033,TRUE,WKS-HQ-6033.sra.org.sz,"CN=WKS-HQ-6033,OU=Desktops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 21H1,2022/11/03 08:36,FALSE,,
WKS-HQ-6013,TRUE,WKS-HQ-6013.sra.org.sz,"CN=WKS-HQ-6013,OU=Desktops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 21H1,2022/11/03 09:04,TRUE,2,2022/11/06 09:01
WKS-HQ-6011,TRUE,WKS-HQ-6011.sra.org.sz,"CN=WKS-HQ-6011,OU=Desktops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/10/26 17:00,TRUE,2,2022/11/06 11:07
WKS-HQ-6012,TRUE,WKS-HQ-6012.sra.org.sz,"CN=WKS-HQ-6012,OU=Desktops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 11,2022/11/01 15:42,TRUE,2,2022/11/06 10:40
WKS-HQ-6014,TRUE,WKS-HQ-6014.sra.org.sz,"CN=WKS-HQ-6014,OU=Desktops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 21H1,2022/10/31 07:58,TRUE,2,2022/11/06 12:55
WKS-HQ-6015,TRUE,WKS-HQ-6015.sra.org.sz,"CN=WKS-HQ-6015,OU=Desktops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/10/27 08:16,TRUE,3,2022/11/07 13:15
WKS-HQ-6010,TRUE,WKS-HQ-6010.sra.org.sz,"CN=WKS-HQ-6010,OU=Desktops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/10/27 08:06,TRUE,12,2022/11/16 10:05
WKS-HQ-6016,TRUE,WKS-HQ-6016.sra.org.sz,"CN=WKS-HQ-6016,OU=Desktops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 21H1,2022/11/03 10:12,TRUE,11,2022/11/16 07:58
WKS-HQ-6009,TRUE,WKS-HQ-6009.sra.org.sz,"CN=WKS-HQ-6009,OU=Desktops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 21H1,2022/11/03 08:09,TRUE,2,2022/11/06 13:24
WKS-NGW-5887,TRUE,WKS-NGW-5887.sra.org.sz,"CN=WKS-NGW-5887,OU=Computers,OU=Ngwenya_border,DC=sra,DC=org,DC=sz",Windows 10 21H1,2022/08/04 08:30,TRUE,-46,2022/09/18 13:27
WKS-NGW-5888,TRUE,WKS-NGW-5888.sra.org.sz,"CN=WKS-NGW-5888,OU=Computers,OU=Ngwenya_border,DC=sra,DC=org,DC=sz",Windows 10 21H1,2022/10/26 23:54,TRUE,13,2022/11/17 16:10
WKS-NGW-5889,TRUE,WKS-NGW-5889.sra.org.sz,"CN=WKS-NGW-5889,OU=Computers,OU=Ngwenya_border,DC=sra,DC=org,DC=sz",Windows 10 21H1,2022/10/26 21:56,TRUE,13,2022/11/17 15:11
WKS-SIC-5866,TRUE,WKS-SIC-5866.sra.org.sz,"CN=WKS-SIC-5866,OU=Computers,OU=Sicunusa_border,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/11/01 17:06,TRUE,21,2022/11/25 14:51
WKS-SIC-5869,TRUE,WKS-SIC-5869.sra.org.sz,"CN=WKS-SIC-5869,OU=Computers,OU=Sicunusa_border,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/11/04 07:37,TRUE,19,2022/11/23 15:05
WKS-NHL-5874,TRUE,WKS-NHL-5874.sra.org.sz,"CN=WKS-NHL-5874,OU=Computers,OU=Nhlangano_Service_Center,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/11/03 11:19,TRUE,14,2022/11/18 10:33
WKS-NGW-5890,TRUE,WKS-NGW-5890.sra.org.sz,"CN=WKS-NGW-5890,OU=Computers,OU=Ngwenya_border,DC=sra,DC=org,DC=sz",Windows 10 21H1,2022/10/31 08:21,TRUE,14,2022/11/18 11:09
WKS-NGW-5891,TRUE,WKS-NGW-5891.sra.org.sz,"CN=WKS-NGW-5891,OU=Computers,OU=Ngwenya_border,DC=sra,DC=org,DC=sz",Windows 10 21H1,2022/10/25 15:25,TRUE,13,2022/11/17 12:41
WKS-NHL-5875,TRUE,WKS-NHL-5875.sra.org.sz,"CN=WKS-NHL-5875,OU=Computers,OU=Nhlangano_Service_Center,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/10/31 07:51,TRUE,14,2022/11/18 11:01
WKS-COP-5877,TRUE,WKS-COP-5877.sra.org.sz,"CN=WKS-COP-5877,OU=Computers,OU=Mbabane_Service_Center,DC=sra,DC=org,DC=sz",Windows 10 2004,2022/10/26 11:42,TRUE,21,2022/11/25 11:43
WKS-MNZ-5950,TRUE,WKS-MNZ-5950.sra.org.sz,"CN=WKS-MNZ-5950,OU=Computers,OU=Manzini_Service_Center,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/10/27 08:52,TRUE,13,2022/11/17 13:30
WKS-MNZ-5948,TRUE,WKS-MNZ-5948.sra.org.sz,"CN=WKS-MNZ-5948,OU=Computers,OU=Manzini_Service_Center,DC=sra,DC=org,DC=sz",Windows 10 21H1,2022/10/30 08:56,TRUE,14,2022/11/18 20:50
WKS-MAH-5959,TRUE,WKS-MAH-5959.sra.org.sz,"CN=WKS-MAH-5959,OU=Computers,OU=Mahamba_border,DC=sra,DC=org,DC=sz",Windows 10 21H1,2022/10/29 13:13,TRUE,13,2022/11/17 14:10
WKS-MNZ-5947,TRUE,WKS-MNZ-5947.sra.org.sz,"CN=WKS-MNZ-5947,OU=Computers,OU=Manzini_Service_Center,DC=sra,DC=org,DC=sz",Windows 10 21H1,2022/10/30 10:45,TRUE,14,2022/11/18 20:33
WKS-MAH-5960,TRUE,WKS-MAH-5960.sra.org.sz,"CN=WKS-MAH-5960,OU=Computers,OU=Mahamba_border,DC=sra,DC=org,DC=sz",Windows 10 2004,2022/10/29 07:52,TRUE,13,2022/11/17 13:25
WKS-MAH-5961,TRUE,WKS-MAH-5961.sra.org.sz,"CN=WKS-MAH-5961,OU=Computers,OU=Mahamba_border,DC=sra,DC=org,DC=sz",Windows 10 1909,2022/10/28 10:29,FALSE,,
WKS-MNZ-5946,TRUE,WKS-MNZ-5946.sra.org.sz,"CN=WKS-MNZ-5946,OU=Computers,OU=Manzini_Service_Center,DC=sra,DC=org,DC=sz",Windows 10 21H1,2022/10/27 15:52,TRUE,13,2022/11/17 12:59
WKS-MNZ-5945,TRUE,WKS-MNZ-5945.sra.org.sz,"CN=WKS-MNZ-5945,OU=Computers,OU=Manzini_Service_Center,DC=sra,DC=org,DC=sz",Windows 10 21H1,2022/10/31 08:45,TRUE,14,2022/11/18 11:02
WKS-MAH-5962,TRUE,WKS-MAH-5962.sra.org.sz,"CN=WKS-MAH-5962,OU=Computers,OU=Mahamba_border,DC=sra,DC=org,DC=sz",Windows 10 21H1,2022/10/31 09:27,TRUE,13,2022/11/17 13:03
WKS-SAN-5868,TRUE,WKS-SAN-5868.sra.org.sz,"CN=WKS-SAN-5868,OU=Computers,OU=Sandlane_border,DC=sra,DC=org,DC=sz",Windows 10 20H2,2022/11/01 09:20,TRUE,21,2022/11/25 13:29
WKS-LAV-5974,TRUE,WKS-LAV-5974.sra.org.sz,"CN=WKS-LAV-5974,OU=Computers,OU=Lavumisa_border,DC=sra,DC=org,DC=sz",Windows 10 21H1,2022/10/31 09:19,TRUE,13,2022/11/17 14:05
WKS-LAV-5972,TRUE,WKS-LAV-5972.sra.org.sz,"CN=WKS-LAV-5972,OU=Computers,OU=Lavumisa_border,DC=sra,DC=org,DC=sz",Windows 10 21H1,2022/10/30 00:06,TRUE,13,2022/11/17 13:42
WKS-LAV-5975,TRUE,WKS-LAV-5975.sra.org.sz,"CN=WKS-LAV-5975,OU=Computers,OU=Lavumisa_border,DC=sra,DC=org,DC=sz",Windows 10 1909,2022/10/29 22:09,FALSE,,
WKS-ICD-5921,TRUE,WKS-ICD-5921.sra.org.sz,"CN=WKS-ICD-5921,OU=Computers,OU=Matsapha_ICD,DC=sra,DC=org,DC=sz",Windows 10 21H1,2022/10/27 14:01,TRUE,14,2022/11/18 10:19
WKS-LAV-5973,TRUE,WKS-LAV-5973.sra.org.sz,"CN=WKS-LAV-5973,OU=Computers,OU=Lavumisa_border,DC=sra,DC=org,DC=sz",Windows 10 21H1,2022/10/29 22:21,TRUE,13,2022/11/17 13:35
WKS-ICD-5922,TRUE,WKS-ICD-5922.sra.org.sz,"CN=WKS-ICD-5922,OU=Computers,OU=Matsapha_ICD,DC=sra,DC=org,DC=sz",Windows 10 21H1,2022/10/28 01:07,TRUE,13,2022/11/17 14:29
WKS-ICD-5923,TRUE,WKS-ICD-5923.sra.org.sz,"CN=WKS-ICD-5923,OU=Computers,OU=Matsapha_ICD,DC=sra,DC=org,DC=sz",Windows 10 21H1,2022/10/31 07:47,TRUE,13,2022/11/17 11:02
WKS-MNZ-5944,TRUE,WKS-MNZ-5944.sra.org.sz,"CN=WKS-MNZ-5944,OU=Computers,OU=Manzini_Service_Center,DC=sra,DC=org,DC=sz",Windows 10 21H1,2022/10/31 09:01,TRUE,15,2022/11/19 09:28
WKS-MPO-5951,TRUE,WKS-MPO-5951.sra.org.sz,"CN=WKS-MPO-5951,OU=Computers,OU=Manzini_Service_Center,DC=sra,DC=org,DC=sz",Windows 10 1909,2022/10/24 15:55,TRUE,0,2022/11/03 09:16
WKS-MSW-5847,TRUE,WKS-MSW-5847.sra.org.sz,"CN=WKS-MSW-5847,OU=Computers,OU=Matsapha_AGOA,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/11/03 16:10,TRUE,7,2022/11/11 10:03
WKS-HQ-5924,TRUE,WKS-HQ-5924.sra.org.sz,"CN=WKS-HQ-5924,OU=Computers,OU=Matsapha_ICD,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/10/24 12:16,TRUE,21,2022/11/25 20:02
WKS-MTS-5910,TRUE,WKS-MTS-5910.sra.org.sz,"CN=WKS-MTS-5910,OU=Computers,OU=Matsapha_Service_Center,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/10/31 07:57,TRUE,14,2022/11/18 09:17
WKS-MTS-5911,TRUE,WKS-MTS-5911.sra.org.sz,"CN=WKS-MTS-5911,OU=Computers,OU=Matsapha_Service_Center,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/10/31 07:54,TRUE,14,2022/11/18 09:22
WKS-MTS-5912,TRUE,WKS-MTS-5912.sra.org.sz,"CN=WKS-MTS-5912,OU=Computers,OU=Matsapha_Service_Center,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/10/31 08:02,TRUE,14,2022/11/18 10:09
WKS-AGO-5939,TRUE,WKS-AGO-5939.sra.org.sz,"CN=WKS-AGO-5939,OU=Computers,OU=Matsapha_AGOA,DC=sra,DC=org,DC=sz",Windows 10 2004,2022/10/26 10:34,TRUE,13,2022/11/17 15:14
WKS-AGO-5926,TRUE,WKS-AGO-5926.sra.org.sz,"CN=WKS-AGO-5926,OU=Computers,OU=Matsapha_AGOA,DC=sra,DC=org,DC=sz",Windows 10 21H1,2022/11/03 08:54,TRUE,14,2022/11/18 08:16
WKS-AGO-5934,TRUE,WKS-AGO-5934.sra.org.sz,"CN=WKS-AGO-5934,OU=Computers,OU=Matsapha_AGOA,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/10/20 09:16,TRUE,5,2022/11/09 08:16
WKS-HQ-5935,TRUE,WKS-HQ-5935.sra.org.sz,"CN=WKS-HQ-5935,OU=Computers,OU=Matsapha_AGOA,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/11/02 15:17,TRUE,20,2022/11/24 18:57
WKS-AGO-5937,TRUE,WKS-AGO-5937.sra.org.sz,"CN=WKS-AGO-5937,OU=Computers,OU=Matsapha_AGOA,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/10/31 16:14,TRUE,26,2022/11/30 16:14
WKS-AGO-5938,TRUE,WKS-AGO-5938.sra.org.sz,"CN=WKS-AGO-5938,OU=Computers,OU=Matsapha_AGOA,DC=sra,DC=org,DC=sz",Windows 10 21H1,2022/10/27 11:05,TRUE,16,2022/11/20 11:48
WKS-HQ-5927,TRUE,WKS-HQ-5927.sra.org.sz,"CN=WKS-HQ-5927,OU=Computers,OU=Matsapha_AGOA,DC=sra,DC=org,DC=sz",Windows 10 21H1,2022/10/25 10:07,FALSE,,
WKS-MTS-5913,TRUE,WKS-MTS-5913.sra.org.sz,"CN=WKS-MTS-5913,OU=Computers,OU=Matsapha_Service_Center,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/11/03 08:02,TRUE,23,2022/11/27 12:20
WKS-MTS-5914,TRUE,WKS-MTS-5914.sra.org.sz,"CN=WKS-MTS-5914,OU=Computers,OU=Matsapha_Service_Center,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/10/31 09:59,TRUE,14,2022/11/18 09:48
WKS-MTS-5915,TRUE,WKS-MTS-5915.sra.org.sz,"CN=WKS-MTS-5915,OU=Computers,OU=Matsapha_Service_Center,DC=sra,DC=org,DC=sz",Windows 10 21H1,2022/08/01 11:22,TRUE,-75,2022/08/20 11:52
WKS-MTS-5916,TRUE,WKS-MTS-5916.sra.org.sz,"CN=WKS-MTS-5916,OU=Computers,OU=Matsapha_Service_Center,DC=sra,DC=org,DC=sz",Windows 10 21H1,2022/10/31 10:55,TRUE,18,2022/11/22 17:43
WKS-MTS-5917,TRUE,WKS-MTS-5917.sra.org.sz,"CN=WKS-MTS-5917,OU=Computers,OU=Matsapha_Service_Center,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/11/03 08:04,TRUE,13,2022/11/17 12:30
WKS-MTS-5918,TRUE,WKS-MTS-5918.sra.org.sz,"CN=WKS-MTS-5918,OU=Computers,OU=Matsapha_Service_Center,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/11/03 08:33,TRUE,5,2022/11/09 08:43
WKS-AGO-5929,TRUE,WKS-AGO-5929.sra.org.sz,"CN=WKS-AGO-5929,OU=Computers,OU=Matsapha_AGOA,DC=sra,DC=org,DC=sz",Windows 10 21H1,2022/10/27 11:57,TRUE,14,2022/11/18 12:49
WKS-AGO-5928,TRUE,WKS-AGO-5928.sra.org.sz,"CN=WKS-AGO-5928,OU=Computers,OU=Matsapha_AGOA,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/11/03 10:17,TRUE,14,2022/11/18 09:53
WKS-AGO-5930,TRUE,WKS-AGO-5930.sra.org.sz,"CN=WKS-AGO-5930,OU=Computers,OU=Matsapha_AGOA,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/10/27 08:02,TRUE,14,2022/11/18 10:19
WKS-MTS-5919,TRUE,WKS-MTS-5919.sra.org.sz,"CN=WKS-MTS-5919,OU=Computers,OU=Matsapha_Service_Center,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/11/03 09:05,TRUE,15,2022/11/19 09:25
WKS-MTS-5920,TRUE,WKS-MTS-5920.sra.org.sz,"CN=WKS-MTS-5920,OU=Computers,OU=Matsapha_Service_Center,DC=sra,DC=org,DC=sz",Unknown,2022/11/03 07:49,TRUE,14,2022/11/18 08:33
WKS-AGO-5932,TRUE,WKS-AGO-5932.sra.org.sz,"CN=WKS-AGO-5932,OU=Computers,OU=Matsapha_AGOA,DC=sra,DC=org,DC=sz",Windows 10 21H1,2022/10/31 07:53,TRUE,14,2022/11/18 10:40
SRAWKS-AGO-5933,TRUE,SRAWKS-AGO-5933.sra.org.sz,"CN=SRAWKS-AGO-5933,OU=Computers,OU=Matsapha_AGOA,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/10/31 09:49,TRUE,14,2022/11/18 10:12
WKS-INT-5971,TRUE,WKS-INT-5971.sra.org.sz,"CN=WKS-INT-5971,OU=Computers,OU=Internal_Affairs,DC=sra,DC=org,DC=sz",Windows 10 21H1,2022/10/31 08:41,TRUE,15,2022/11/19 15:54
WKS-COP-5898,TRUE,WKS-COP-5898.sra.org.sz,"CN=WKS-COP-5898,OU=Computers,OU=Mbabane_Service_Center,DC=sra,DC=org,DC=sz",Windows 10 21H1,2022/10/30 10:04,TRUE,14,2022/11/18 08:24
WKS-COP-5900,TRUE,WKS-COP-5900.sra.org.sz,"CN=WKS-COP-5900,OU=Computers,OU=Mbabane_Service_Center,DC=sra,DC=org,DC=sz",Windows 10 21H1,2022/11/03 08:03,TRUE,14,2022/11/18 10:58
WKS-COP-5901,TRUE,WKS-COP-5901.sra.org.sz,"CN=WKS-COP-5901,OU=Computers,OU=Mbabane_Service_Center,DC=sra,DC=org,DC=sz",Windows 10 21H1,2022/10/31 07:39,TRUE,14,2022/11/18 09:11
